,start_date,end_date,location,court_surface,prize_money,currency,year,player_name,opponent_name,tournament,round,num_sets,duration,nation,tournament_id,match_id_player_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,tiebreaks_total_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,total_points_2,player_victory_2,retirement_2,seed_2,won_first_set_2,doubles_2,masters_2,round_num_2,match_id_player_2
0,2012-06-11,2012-06-17,Slovakia,Clay,30000.0,€,2012,A. Martin,A. Partl,kosice_challenger,2nd Round Qualifying,2.0,01:02:00,Slovakia,kosice_challenger_2012,andrej-martin_adrian-partl_kosice_challenger_2012-06-11,2.0,12.0,3.0,0.0,0.0,268.0,0.0,1.0,30.0,44.0,22.0,30.0,6.0,14.0,0.0,1.0,7.0,293.0,15.0,27.0,13.0,17.0,6.0,7.0,8.0,28.0,44.0,28.0,44.0,56.0,88.0,t,f,8,t,f,100,1,adrian-partl_andrej-martin_kosice_challenger_2012-06-11
15,2012-06-11,2012-06-17,Slovakia,Clay,30000.0,€,2012,A. Partl,A. Martin,kosice_challenger,2nd Round Qualifying,2.0,01:02:00,Slovakia,kosice_challenger_2012,adrian-partl_andrej-martin_kosice_challenger_2012-06-11,0.0,3.0,12.0,0.0,0.0,149.0,0.0,5.0,27.0,44.0,12.0,27.0,4.0,17.0,1.0,7.0,8.0,198.0,8.0,30.0,8.0,14.0,1.0,1.0,7.0,16.0,44.0,16.0,44.0,32.0,88.0,f,f,,f,f,100,1,andrej-martin_adrian-partl_kosice_challenger_2012-06-11
