,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,sets_won,games_won,games_against,tiebreaks_won,tiebreaks_total,serve_rating,aces,double_faults,first_serve_made,first_serve_attempted,first_serve_points_made,first_serve_points_attempted,second_serve_points_made,second_serve_points_attempted,break_points_saved,break_points_against,service_games_won,return_rating,first_serve_return_points_made,first_serve_return_points_attempted,second_serve_return_points_made,second_serve_return_points_attempted,break_points_made,break_points_attempted,return_games_played,service_points_won,service_points_attempted,return_points_won,return_points_attempted,total_points_won,total_points,duration,player_victory,retirement,seed,won_first_set,doubles,masters,round_num,nation
0,2012-06-11,2012-06-17,Slovakia,Clay,30000.0,€,2012,adrian-partl,A. Partl,andrej-martin,A. Martin,kosice_challenger,2nd Round Qualifying,2.0,0.0,3.0,12.0,0.0,0.0,149.0,0.0,5.0,27.0,44.0,12.0,27.0,4.0,17.0,1.0,7.0,8.0,198.0,8.0,30.0,8.0,14.0,1.0,1.0,7.0,16.0,44.0,16.0,44.0,32.0,88.0,01:02:00,f,f,,f,f,100,1,Slovakia
26,2012-06-11,2012-06-17,Slovakia,Clay,30000.0,€,2012,andrej-martin,A. Martin,adrian-partl,A. Partl,kosice_challenger,2nd Round Qualifying,2.0,2.0,12.0,3.0,0.0,0.0,268.0,0.0,1.0,30.0,44.0,22.0,30.0,6.0,14.0,0.0,1.0,7.0,293.0,15.0,27.0,13.0,17.0,6.0,7.0,8.0,28.0,44.0,28.0,44.0,56.0,88.0,01:02:00,t,f,8,t,f,100,1,Slovakia
